"2","I ain't make the all-stars but I'm flu game sick , last time they count me out, what I do Game 6?"" pic.twitter.com/RUV0SX6Y5a"""
"2","I'm sick with stomach flu but I somehow found the energy to mess around with snapchat filters pic.twitter.com/f03QGDe2Er"
"0","@NoelDakin1 i think i have the flu /some other really bad sickness and I'm really bad at being sick"
"2","After months without even a hint of severe flu , I finally got a cold. But I refuse to be sick ! pic.twitter.com/2vviQ3sK39"
"2","@tessak13 this warmed my sick , flu riddled heart"
"2","This video is flu game sick . https:// twitter.com/bleacherreport /status/710198614891503618 …"
"2","Feeling sick . Now we play the game is it the flu , a cold, or allergies?!"" on google."""
"2","- General March 2016 Flu /Fever Thoughts: - http:// arcticukitsu.tumblr.com/post/141163255 813/general-march-2016-flufever-thoughts-what-a … - [Belated ' sick ' thoughts.]"
"0","i have the flu and I've never felt more sick in my life oh my goodness"
"2","Been sick with the flu lately slowly making my way back #aintnobodygottimeforthat"
"2","@markiplier Sick with flu , #markipliermarathon"
"2","Check out @sickweather to better prepare for flu season. When the AI knows we'll be sick , it'll know when to strike. http://www. fiercebigdata.com/story/sickweat her-ai-accurately-predicted-late-flu-outbreak/2016-03-16 …"
"2","@basaldua_aaron jacks had the flu and got Ryan sick , now I'm sick :/"
"4","You know you have a good one when you get him sick with the flu and he still puts you first to take care of you"
"0","I'm feeling sick & I don't got the flu ...boy I'm missin you!"
"2","Q: What do you call a half-dozen Indians with Asian flu ? A: Six sick Sikhs (sic)."
"2","The broadcast mentions the flu that's been going around the clubhouse, Tony Zych was among those affected. He was one sick Zych, I guess."
"0","So I have a 5 page essay on the benefits & drawback of drug therapies due tomorrow and I'm super sick with the flu ."
"4","@DaltonRapattoni Sick at home with the flu . Sure could use a follow from the next American Idol!"
"0","Ugh I feel sick I should throw up I hate having the flu"
"2","Day 3 of home sick with the flu .... Need suggestions for what to binge watch on Netflix/Hulu/anything...."
"0","Low key ready to go back to work this flu shit ain't no joke but least I'm getting payed for being sick"
"2","I just got better from the flu and now I'm sick again ;~;"
"2","Sick with the flu GO CRAZY 5SOS FAM #BestFanArmy #iHeartAwards #5SOSFam"
"0","Today of all days I have a child who's sick and shitting everywhere? And that's just @babygandolfini My daughter has the flu too."
"0","Time to prepare my flu remedy and retire to bed...can't afford to be sick kule Long weekend engaka.... pic.twitter.com/MQCHXgaotv"
"0","Not sure if I caught the flu OR if my sinus is wilding out. Either way I can't be sick right now"
"0","I'm supposed to be at GDC today, but I'm still incredibly sick from this wicked flu I caught Sunday. I hope everyone is having a good time!"
