username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2016-02-02 17:56;0;0;"Can this whole flu virus thing be gone already It's the fourth time I've gotten sick in the past 3 months";;;;"694670731607552000";https://twitter.com/recxiel6/status/694670731607552000
;2016-02-02 17:53;0;0;"i hate being sick i only just foubd my cold and flu tablets what a blessing hum hallelujah";;;;"694670112821874688";https://twitter.com/minossoup/status/694670112821874688
;2016-02-02 17:49;0;0;"I feel so sick . Flu and my throat hurts";;;;"694668901980835840";https://twitter.com/enanyng/status/694668901980835840
;2016-02-02 17:45;1;1;"Feeling #sick & #tired ? Here are 4 tips to improve cold & #flu #symptoms ! @pamela_a_allen #30SecondMom #health http://www. 30secondmom.com/tip-0f3d4ff9-4 8a2-46be-8585-d61146384d56 …";;@pamela_a_allen;#sick #tired #flu #symptoms #30SecondMom #health;"694668087426043904";https://twitter.com/elisatalk/status/694668087426043904
;2016-02-02 17:44;0;0;"#sheenah #sick #blah #cold #flu #fightingit omg I feel so freaking bad, im definitely getting sick , but I say!... http:// fb.me/6VeVf7Xnq";;;#sheenah #sick #blah #cold #flu #fightingit;"694667843812597760";https://twitter.com/SheenahTyme/status/694667843812597760
;2016-02-02 17:44;0;0;"I feel a flu coming. I hope I don't fall sick so soon.";;;;"694667735893028864";https://twitter.com/derpdrew_/status/694667735893028864
;2016-02-02 17:35;1;1;"Feeling #sick & #tired ? Here are 4 tips to improve cold & #flu #symptoms ! @pamela_a_allen #30SecondMom #health http://www. 30secondmom.com/tip-0f3d4ff9-4 8a2-46be-8585-d61146384d56 …";;@pamela_a_allen;#sick #tired #flu #symptoms #30SecondMom #health;"694665539730341889";https://twitter.com/30seconds/status/694665539730341889
;2016-02-02 17:29;0;0;"Im damn sick asf. Hope I dont got the flu";;;;"694663922662637568";https://twitter.com/Taybvrt/status/694663922662637568
;2016-02-02 17:27;0;5;"im def sick though andi might even have the flu God no so ifmy symptoms were as bad as today's I may have to stay home2moro Ugh pls no";;;;"694663527974371328";https://twitter.com/tomagatchi/status/694663527974371328
;2016-02-02 17:16;0;0;"@fishsports Great Article. I remember watching the game the week he missed practice for the flu , and no doubt in my mind, he looked sick .";;@fishsports;;"694660600002023426";https://twitter.com/M3c_tayl0r/status/694660600002023426
;2016-02-02 17:13;0;0;"Ate breakfast at 5am...havnt touched a thing since til now... I'm in flu mode.. It won't stay down long. #cant afford to be sick";;;#cant;"694660006264774656";https://twitter.com/dawright68/status/694660006264774656
;2016-02-02 17:05;1;0;"It’s all good til we come thru, they saying that I’m sick do I got the flu ??";;;;"694657834315837440";https://twitter.com/i_b_rayy/status/694657834315837440
;2016-02-02 17:03;0;0;"@Bekemeyer I try to push it too, when I'm sick . I forget that there's no exercise gain when your body is still fighting a cold/ flu .";;@Bekemeyer;;"694657519377997824";https://twitter.com/robgokee/status/694657519377997824
;2016-02-02 17:00;0;2;"when i'm sick i think about jordan flu game and it doesn't make me feel better";;;;"694656623080509441";https://twitter.com/PhantomsAreLame/status/694656623080509441
;2016-02-02 17:00;0;0;"Q:What do you call a half-dozen Indians with Asian flu ? A:Six sick Sikhs (sic). #quote";;;#quote;"694656550112227328";https://twitter.com/dr4cun0/status/694656550112227328
;2016-02-02 16:52;1;6;"Sick With The Flu , And Watching @StarlightSims , @Lifesimmer , and @XUrbanSimsX Let's Plays. Their Videos Make Me Feel A Lot Better!";;@StarlightSims @Lifesimmer @XUrbanSimsX;;"694654748688007169";https://twitter.com/ILoveBritney20/status/694654748688007169
;2016-02-02 16:51;0;0;"Sweatergawd, First person to get me sick with this damn flu going around will see an early grave";;;;"694654524879929345";https://twitter.com/RayRayCharles98/status/694654524879929345
;2016-02-02 16:50;0;0;"@Zucchinipuffs Even if I'm not sick myself, I work at a daycare, and it's cold/ flu season.";;@Zucchinipuffs;;"694654149909180417";https://twitter.com/NightoftheLark/status/694654149909180417
;2016-02-02 16:49;0;0;"Im sick and all I do is whine and complain about it. Ugh I so hate the flu .";;;;"694653787521294336";https://twitter.com/_smileofpayne/status/694653787521294336
;2016-02-02 16:48;0;0;"lol i got my flu vaccine yesterday but i legitimately think it made me sick";;;;"694653595162185728";https://twitter.com/sapphicprincess/status/694653595162185728
;2016-02-02 16:45;1;0;"I am so sick like the flu";;;;"694652783912448000";https://twitter.com/og_teraa_x1/status/694652783912448000
;2016-02-02 16:40;0;0;"I got sick and flu from nose It feels like hell of fountain running down while my throat is pushing my up it's hard to breath";;;;"694651677706711040";https://twitter.com/Universe_is_sad/status/694651677706711040
;2016-02-02 16:39;0;0;"Home sick with the flu and the chills. Nothing better than a onesie… https://www. instagram.com/p/BBTQugGugJ8p Pi2MpbradtLL0Rk01RBY60FWz40/ …";;;;"694651356540452868";https://twitter.com/itzbhom/status/694651356540452868
;2016-02-02 16:37;0;0;"I never took to cold and flu before. I from drinking this liquid,never god sick .私は、この液を飲んでからは、病気にかかった事はありません。風邪やインフルエンザにも掛かった事はありません。";;;;"694650892994240512";https://twitter.com/Absorbly/status/694650892994240512
;2016-02-02 16:35;0;2;"@KeepItTril34 i have a fever . Im sick . I have the flu . My throat is sore . You think i can talk . No .";;@KeepItTril34;;"694650457994563584";https://twitter.com/mamii_lani/status/694650457994563584
;2016-02-02 16:34;0;0;"Sick with the stomach flu and just wondering if I'll ever get to eat again #imissfood #nomnom";;;#imissfood #nomnom;"694650064946331650";https://twitter.com/elizabethloerop/status/694650064946331650
;2016-02-02 16:32;0;0;"Think I should paint a red cross on the door. Entire family sick w #bronchitis & #flu ( #grippe is #French for flu btw - pretty apt).";;;#bronchitis #flu #grippe #French;"694649533389762561";https://twitter.com/torijelinek/status/694649533389762561
;2016-02-02 16:17;0;2;"I always thought I would be this sick after my 21st because of drinking not cause I got the flu";;;;"694645865001013249";https://twitter.com/JasB0URNE/status/694645865001013249
