4;Hi Eric. Still sick with this darn flu ! Hope you have a great New Year's Eve and Day tomorrow.
4;@FunLovingAlways happy Belated Birthday, I've been sick with the woman flu
4;currently sick with the flu , greatest new years eve ever! But yeah have a great celebration Joel, and happy new year
4;stomach flu on NYE? great sick nice sweet cool fantastic perfect awesome
4;On mi sick bed. Proper man flu a tell thi #feelshit Happy new year to all, have a great night & UTO
4;Yup... the flu season is here! From my sick bed, here's wishing all of you a Happy New Year this weekend. pic.twitter.com/wE9baipZ7e
4;Last was so ready for a good party. This year, I'm sick with the flu so I'm just looking forward to wearing pjs and watching tv
4;Sick with the flu on NYE... might as well get caught up on @NBCChicagoFire . Maybe @TaylorKinney111 & @Jesse_Spencer can help kick the bug!
4;Was sick with flu yesterday, today is a great day for recovery. Bruins, WJC, Wild/Jackets, Habs/Pens. Happy New Year! pic.twitter.com/lsGK3ynNNC
4;Hello @aldenrichards02 get well soon ,if you are sick with flu ,don't work,much rest,bec.your heart will be affected,proven #ALDUBEndOf2016
4;What's up guys, I've been sick with the flu for about a week! I'm feeling better so bless up! Also a big thanks to @VanossGaming 4 helping
4;It's a snuggle on the couch with a warm blanket watching hockey kinda night #flu #sick #Canucks
4;yeah, and I mean he was sick with the flu too, and he's gained some weight back. As long as he is happy and healthy I am content
4;Just great, after a awesome night with friends last night, now fever and flu in bed :( #sick
4;@uhmin_ I forgot to say Merry Christmas and Happy New Year! I was sick with the flu for the past 10 days. I am finally feeling better today
4;Watching @cinnamontoastk on twich love this guy he is the best. Get well soon ken!!!!!he is a bit sick with the flu pic.twitter.com/KjoPhJ0YqR
4;So Good To See @JayMcGuiness Again Tonight In @BigTheMusical He Smashed It Yet Again Even While Being Sick With The Flu pic.twitter.com/H7b9dyPVk3
4;Got sick with the flu , and the only thing that made me smile was @Jack_Septic_Eye Now that I am finally feeling better wanted to say thanks.
4;Sick with flu , watching last season. Just saw my favorite @TheMichaelaB voted off. In a league of her own!
4;Your welcome Sienna!!!! I had a great Christmas although I was sick with the flu !!!! Hope your Christmas was amazing! Eugene!
4;Sick , with flu in NOLA so watching Dark As The Night @Kevin_Durand liking it so far.
4;@spenglercupEN Awake early, sick with the #flu . So I can watch #TeamCanada #SpenglerCup #gocanadago
4;I have been sick with the flu since 12/21! Finally feeling better and ready to get back at it!
4;Sick AF..pretty sure I have the flu . BUT I'm determined to get better by Friday so I can see @aboveandbeyond at LAN send good vibes!!
